smiles,quantum_yield
CCOc1cc(N)ccc1/N=N\c1ccc(N)cc1OCC,0.5388699999999998
N[C@@H](C[C@@H](CCCC(=O)Nc1ccc(/N=N\c2ccc(F)cc2)cc1)C(=O)O)C(=O)O,0.5002300000000001
O=C(c1ccc(/N=N\c2ccc(-c3ccccc3)cc2)cc1)C(F)(F)F,0.46811
CC(=O)Nc1ccc(/N=N\c2ccc(C(=O)C(F)(F)F)cc2)cc1,0.55824
CN(C)c1ccc(/N=N/c2ccc(N(C)C)cc2C(C)(C)c2cccc(N)c2O)c(C(C)(C)c2cccc(N)c2O)c1,0.1299565217391304
CC(=O)N1CC2CN(c3ccc(/N=N\c4ccc(N5CCOCC5)cc4)cc3)CC2C1,0.469765306122449
C#Cc1ccc(/N=N\c2ccc(C#C)cc2N2CC3CN(C(C)=O)CC3C2)c(N2CC3CN(C(C)=O)CC3C2)c1,0.59272
Cc1cc(N(C)Cc2ccccn2)cc(C)c1/N=N/c1c(C)cc(N(C)Cc2ccccn2)cc1C,0.42402
CCOC(=O)c1ccc(/N=N/c2ccc(C(=O)C(F)(F)F)cc2)cc1,0.0
CCN(c1ccccc1)c1cc(C(C)(C)C)ccc1/N=N/c1ccc(C(C)(C)C)cc1N(CC)c1ccccc1,0.3972641509433962
Fc1cc(OCc2ccccc2)cc(F)c1/N=N/c1c(F)cc(OCc2ccccc2)cc1F,0.3172272727272727
CC(=O)Nc1ccc(/N=N/c2ccc(N3CCN(C)CC3)cc2)cc1,0.1097777777777778
Cc1cc(C(=O)O)ccc1/N=N/c1ccc(C(=O)O)cc1C,0.0761282051282051
CC(=O)Nc1ccc(/N=N/c2ccc(N3CCCCC3)cc2)cc1,0.0
CCN(c1ccccc1)c1cc(O)c(/N=N/c2c(O)cc(N(CC)c3ccccc3)cc2O)c(O)c1,0.1296666666666666
c1ccc(-n2cc(-c3ccc(/N=N\c4ccc(-c5cn(-c6ccc7cc8ccccc8cc7c6)nn5)cc4)cc3)nn2)cc1,0.5914499999999999
C#Cc1ccc(/N=N\c2ccc(C#C)cc2N(CC)CC)c(N(CC)CC)c1,0.63034
NC(=O)c1cc(CO)cc(C(N)=O)c1/N=N\c1c(C(N)=O)cc(CO)cc1C(N)=O,0.56028
N[C@@H](C[C@@H](CCCC(=O)Nc1ccc(/N=N/c2ccc(NC(=O)CCC[C@H](C[C@H](N)C(=O)O)C(=O)O)cc2F)c(F)c1)C(=O)O)C(=O)O,0.0
Oc1ccc(/N=N\c2ccc(-c3cn(-c4ccccc4)nn3)cc2)cc1,0.5299200000000001
CCN(c1ccccc1)c1ccc(/N=N/c2ccc(N(CC)c3ccccc3)cc2-c2cn(-c3ccccc3)nn2)c(-c2cn(-c3ccccc3)nn2)c1,0.0
CC(C)(C)c1cc(NC(=O)CCl)cc(C(C)(C)C)c1/N=N\c1c(C(C)(C)C)cc(NC(=O)CCl)cc1C(C)(C)C,0.0108631578947368
CC(=O)Oc1ccc(/N=N/c2ccccc2)cc1,0.2495
C=CC(=O)Nc1cc([N+](C)(C)C)c(/N=N/c2c([N+](C)(C)C)cc(NC(=O)C=C)cc2[N+](C)(C)C)c([N+](C)(C)C)c1,0.0254050632911392
